370,"RISZ(NN)","risk premium for HH capital","del","NN",
371,"ROGY(UU)","potential output growth","pct","UU",
372,"ROGY(NN)","potential output growth","pct","NN",
373,"SAVI(UU)","domestic saving, real","gdp","UU",
374,"SAVI(NN)","domestic saving, real","gdp","NN",
375,"SAVN(UU)","domestic saving, nominal","gdp","UU",
376,"SAVN(NN)","domestic saving, nominal","gdp","NN",
377,"SAVT(UU)","domestic non-governmen saving, nominal","gdp","UU",
378,"SAVT(NN)","domestic non-governmen saving, nominal","gdp","NN",
379,"SHEF(a01,UU)","aeei shock","pct","UU",
380,"SHEF(a01,NN)","aeei shock","pct","NN",
381,"SHEF(a02,UU)","aeei shock","pct","UU",
382,"SHEF(a02,NN)","aeei shock","pct","NN",
383,"SHEFC(UU)","aeei shock - consumption","pct","UU",
384,"SHEFC(NN)","aeei shock - consumption","pct","NN",
385,"SHK(a01,UU)","capital efficiency shock","pct","UU",
386,"SHK(a01,NN)","capital efficiency shock","pct","NN",
387,"SHK(a02,UU)","capital efficiency shock","pct","UU",
388,"SHK(a02,NN)","capital efficiency shock","pct","NN",
389,"SHKC(UU)","agg con shock","gdp","UU",
390,"SHKC(NN)","agg con shock","gdp","NN",
391,"SHKI(UU,a01)","shock in inv equation","gdp","UU",
392,"SHKI(UU,a02)","shock in inv equation","gdp","UU",
393,"SHKI(NN,a01)","shock in inv equation","gdp","NN",
394,"SHKI(NN,a02)","shock in inv equation","gdp","NN",
395,"SHKM(UU)","shock to money demand","pct","UU",
396,"SHKM(NN)","shock to money demand","pct","NN",
397,"SHL(UU,a01)","labor shock","pct","UU",
398,"SHL(UU,a02)","labor shock","pct","UU",
399,"SHL(NN,a01)","labor shock","pct","NN",
400,"SHL(NN,a02)","labor shock","pct","NN",
401,"SHLY(UU)","labor shock, R","pct","UU",
402,"SHLY(NN)","labor shock, R","pct","NN",
403,"SHLZ(UU)","labor shock, HH","pct","UU",
404,"SHLZ(NN)","labor shock, HH","pct","NN",
405,"SHY(a01,UU)","tfp shock","pct","UU",
406,"SHY(a01,NN)","tfp shock","pct","NN",
407,"SHY(a02,UU)","tfp shock","pct","UU",
408,"SHY(a02,NN)","tfp shock","pct","NN",
409,"SHYY(UU)","tfp shock, R","pct","UU",
410,"SHYY(NN)","tfp shock, R","pct","NN",
411,"SHYZ(UU)","tfp shock, HH","pct","UU",
412,"SHYZ(NN)","tfp shock, HH","pct","NN",
413,"STM(a01,UU)","stock market value","gdp","UU",
414,"STM(a01,NN)","stock market value","gdp","NN",
415,"STM(a02,UU)","stock market value","gdp","UU",
416,"STM(a02,NN)","stock market value","gdp","NN",
417,"STMT(UU)","Total stock market value","gdp","UU",
418,"STMT(NN)","Total stock market value","gdp","NN",
419,"TAX(g01,UU)","sales tax on composite","pct","UU",
420,"TAX(g01,NN)","sales tax on composite","pct","NN",
421,"TAX(g02,UU)","sales tax on composite","pct","UU",
422,"TAX(g02,NN)","sales tax on composite","pct","NN",
423,"TAXC(UU)","revenue from sales & corp taxes","gdp","UU",
424,"TAXC(NN)","revenue from sales & corp taxes","gdp","NN",
425,"TAXE(UU)","revenue from externality taxes","gdp","UU",
426,"TAXE(NN)","revenue from externality taxes","gdp","NN",
427,"TAXH(UU)","revenue from taxes on wages","gdp","UU",
428,"TAXH(NN)","revenue from taxes on wages","gdp","NN",
429,"TAXL(UU)","revenue for bond interest plus TAXS","gdp","UU",
430,"TAXL(NN)","revenue for bond interest plus TAXS","gdp","NN",
431,"TAXM(UU)","tariff revenue","gdp","UU",
432,"TAXM(NN)","tariff revenue","gdp","NN",
433,"TAXS(UU)","exogenous lump sum tax","gdp","UU",
434,"TAXS(NN)","exogenous lump sum tax","gdp","NN",
435,"TAXT(UU)","total revenue","gdp","UU",
436,"TAXT(NN)","total revenue","gdp","NN",
437,"TAXX(UU)","extern tax revenue","gdp","UU",
438,"TAXX(NN)","extern tax revenue","gdp","NN",
439,"TBAL(UU)","trade surplus, domestic currency","gdp","UU",
440,"TBAL(NN)","trade surplus, domestic currency","gdp","NN",
441,"TBAU(UU)","trade surplus, USD","gdp","UU",
442,"TBAU(NN)","trade surplus, USD","gdp","NN",
443,"TBFD(UU)","unit tax on energy","cent","UU",
444,"TBFD(NN)","unit tax on energy","cent","NN",
445,"TBFI(UU)","unit tax on energy, imports","cent","UU",
446,"TBFI(NN)","unit tax on energy, imports","cent","NN",
447,"TBFX(UU)","unit tax on energy, exports","cent","UU",
448,"TBFX(NN)","unit tax on energy, exports","cent","NN",
449,"TCAW()","unit tax on carbon","cent","UU",
450,"TCAX(UU)","unit tax on carbon - real","cent","UU",
451,"TCAX(NN)","unit tax on carbon - real","cent","NN",
452,"TCOR(UU)","tax rate on corporate profits","pct","UU",
453,"TCOR(NN)","tax rate on corporate profits","pct","NN",
454,"TCP(g01,UU)","nonlinear unit tax shock for carbon","cent","UU",
455,"TCP(g01,NN)","nonlinear unit tax shock for carbon","cent","NN",
456,"TCP(g02,UU)","nonlinear unit tax shock for carbon","cent","UU",
